timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775579918737,251,GET /api/load/goods-receipts,200,,Lasttest 1-60,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,250,0,0
1775579918736,252,GET /api/load/goods-receipts,200,,Lasttest 1-45,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,251,0,0
1775579918538,462,GET /api/load/articles,200,,Lasttest 1-86,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,461,0,0
1775579918736,265,GET /api/load/articles,200,,Lasttest 1-87,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,263,0,0
1775579918737,264,GET /api/load/storage-locations,200,,Lasttest 1-10,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,262,0,0
1775579918736,265,GET /api/load/articles,200,,Lasttest 1-43,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,265,0,0
1775579918737,272,GET /api/load/articles,200,,Lasttest 1-92,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,271,0,0
1775579918952,66,GET /api/load/articles,200,,Lasttest 1-24,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,66,0,0
1775579918952,68,GET /api/load/articles,200,,Lasttest 1-59,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,67,0,0
1775579918786,243,GET /api/load/kommissionen,200,,Lasttest 1-99,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,242,0,0
1775579918786,243,GET /api/load/kommissionen,200,,Lasttest 1-3,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,242,0,0
1775579918770,260,GET /api/load/storage-locations,200,,Lasttest 1-2,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,259,0,0
1775579918786,260,GET /api/load/goods-receipts,200,,Lasttest 1-13,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,260,0,0
1775579918770,284,GET /api/load/articles,200,,Lasttest 1-66,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,284,0,0
1775579919005,52,GET /api/load/storage-locations,200,,Lasttest 1-93,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,52,0,0
